sample_type,step,spec_id,spec_label,estimator,estimator_label,nobs,countries,years,coef,coef_sign,p_value,r_squared,adj_r_squared,fit_status,regressors
fixed_m2_common_sample,3,bm_trade,Broad money + trade,random_effects,Random effects,96.0,8,13,-0.002999093277830832,negative,0.906546893090671,0.2977829590037664,0.28268151726191193,estimated,"broad_money_pct_gdp, trade_pct_gdp"
fixed_m2_common_sample,4,bm_gdppc,Broad money + log GDP per capita,pooled_ols,Pooled OLS,96.0,8,13,0.029477635488823047,positive,0.43184664680209317,0.3670599297069934,0.3534483152920901,estimated,"broad_money_pct_gdp, ln_gdppc"
fixed_m2_common_sample,4,bm_gdppc,Broad money + log GDP per capita,fixed_effects_driscoll_kraay,"Two-way FE, Driscoll-Kraay SE",96.0,8,13,0.05407728390448315,positive,0.2665671785488737,0.054119565464960884,-0.21430596325444218,estimated,"broad_money_pct_gdp, ln_gdppc"
fixed_m2_common_sample,4,bm_gdppc,Broad money + log GDP per capita,fixed_effects,Fixed effects,96.0,8,13,0.05407728390448315,positive,0.35645582562671896,0.054119565464960884,-0.21430596325444218,estimated,"broad_money_pct_gdp, ln_gdppc"
fixed_m2_common_sample,4,bm_gdppc,Broad money + log GDP per capita,random_effects,Random effects,96.0,8,13,0.018645625717125067,positive,0.5327523753865959,0.012147762311246368,-0.009096371832597816,estimated,"broad_money_pct_gdp, ln_gdppc"
fixed_m2_common_sample,5,bm_trade_gdppc,Broad money + trade + log GDP per capita,pooled_ols,Pooled OLS,96.0,8,13,-0.03631684556716133,negative,0.10699739295970977,0.7294897055177663,0.7206687176542153,estimated,"broad_money_pct_gdp, trade_pct_gdp, ln_gdppc"
fixed_m2_common_sample,5,bm_trade_gdppc,Broad money + trade + log GDP per capita,fixed_effects_driscoll_kraay,"Two-way FE, Driscoll-Kraay SE",96.0,8,13,0.07533693502633061,positive,0.20566853840272614,0.08226546526991374,-0.1943120657446329,estimated,"broad_money_pct_gdp, trade_pct_gdp, ln_gdppc"
fixed_m2_common_sample,5,bm_trade_gdppc,Broad money + trade + log GDP per capita,fixed_effects,Fixed effects,96.0,8,13,0.07533693502633061,positive,0.11207061365864623,0.08226546526991374,-0.1943120657446329,estimated,"broad_money_pct_gdp, trade_pct_gdp, ln_gdppc"
fixed_m2_common_sample,5,bm_trade_gdppc,Broad money + trade + log GDP per capita,random_effects,Random effects,96.0,8,13,-0.0037918441380667845,negative,0.8824413947850269,0.2640576495039808,0.24005952937911068,estimated,"broad_money_pct_gdp, trade_pct_gdp, ln_gdppc"
fixed_m2_common_sample,6,m1_controls,M1 baseline controls,pooled_ols,Pooled OLS,96.0,8,13,-0.04135592755276612,negative,0.03880374465145858,0.7429759848012436,0.7286968728457571,estimated,"broad_money_pct_gdp, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
fixed_m2_common_sample,6,m1_controls,M1 baseline controls,fixed_effects_driscoll_kraay,"Two-way FE, Driscoll-Kraay SE",96.0,8,13,0.08611171937981749,positive,0.24794504600260692,0.0883408545630946,-0.21982561713388749,estimated,"broad_money_pct_gdp, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
fixed_m2_common_sample,6,m1_controls,M1 baseline controls,fixed_effects,Fixed effects,96.0,8,13,0.08611171937981749,positive,0.21032672852007184,0.0883408545630946,-0.21982561713388749,estimated,"broad_money_pct_gdp, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
fixed_m2_common_sample,6,m1_controls,M1 baseline controls,random_effects,Random effects,96.0,8,13,-0.03870748700205825,negative,0.049718087156152,0.7012420915346458,0.6846444299532373,estimated,"broad_money_pct_gdp, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
fixed_m2_common_sample,7,m2_full_controls,M2 full controls,pooled_ols,Pooled OLS,96.0,8,13,-0.04291261887133198,negative,0.0025016165963813145,0.7555733409541516,0.7390951392207237,estimated,"broad_money_pct_gdp, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
fixed_m2_common_sample,7,m2_full_controls,M2 full controls,fixed_effects_driscoll_kraay,"Two-way FE, Driscoll-Kraay SE",96.0,8,13,0.07315701189152647,positive,0.3550523101613041,0.09658821638677095,-0.22605884918938224,estimated,"broad_money_pct_gdp, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
fixed_m2_common_sample,7,m2_full_controls,M2 full controls,fixed_effects,Fixed effects,96.0,8,13,0.07315701189152647,positive,0.28211316942867404,0.09658821638677095,-0.22605884918938224,estimated,"broad_money_pct_gdp, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
fixed_m2_common_sample,7,m2_full_controls,M2 full controls,random_effects,Random effects,96.0,8,13,-0.04291261887133211,negative,0.0018182644470341458,0.7555733409541517,0.7390951392207238,estimated,"broad_money_pct_gdp, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
