model_id,estimator,covariance_type,nobs,r_squared,within_r2,adj_r_squared,slope_adjusted_within_r2,r2_adj_r2_gap
M6_tourism_robustnessb_from_M2_main_monetary_policy,fixed_effects,entity-clustered,182.0,0.035400801334726,0.1410188558274318,-0.2124476038778793,0.1064621431308341,0.2478484052126053
M6_tourism_robustnessb_from_M2_main_monetary_policy,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,182.0,0.035400801334726,0.1410188558274318,-0.2124476038778793,0.1064621431308341,0.2478484052126053
M6_tourism_robustnessb_from_M2_main_monetary_policy,random_effects,entity-clustered,182.0,0.1367325744379006,0.1185541595243411,0.1020034251336783,0.0830936946776192,0.0347291493042223
M7_human_capital_robustnessa_from_M4_real_interest_robustness,pooled_ols,country-clustered,161.0,0.7361400026733911,0.7361400026733911,0.7240679766519122,0.7240679766519122,0.0120720260214788
M7_human_capital_robustnessa_from_M4_real_interest_robustness,fixed_effects,entity-clustered,161.0,0.0396286619613417,0.0822534613204564,-0.2391888232756882,0.0402650575900197,0.27881748523703
M7_human_capital_robustnessa_from_M4_real_interest_robustness,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,161.0,0.0396286619613417,0.0822534613204564,-0.2391888232756882,0.0402650575900197,0.27881748523703
M7_human_capital_robustnessa_from_M4_real_interest_robustness,random_effects,entity-clustered,161.0,,,,,
M7_human_capital_robustnessb_from_M2_main_monetary_policy,pooled_ols,country-clustered,182.0,0.6928988850929754,0.6928988850929754,0.6805442425392445,0.6805442425392445,0.0123546425537308
M7_human_capital_robustnessb_from_M2_main_monetary_policy,fixed_effects,entity-clustered,182.0,0.0380785274950749,0.1457305242400348,-0.209081850856885,0.1113633614221052,0.2471603783519599
M7_human_capital_robustnessb_from_M2_main_monetary_policy,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,182.0,0.0380785274950749,0.1457305242400348,-0.209081850856885,0.1113633614221052,0.2471603783519599
M7_human_capital_robustnessb_from_M2_main_monetary_policy,random_effects,entity-clustered,182.0,0.1321738319110768,0.1114143598417523,0.0972612849189936,0.0756666616744664,0.0349125469920831
