model_id,variable,vif,comparison_id,native_model_id,sample_mode,native_rows,common_rows
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,ln_tourism_arrivals,630.972426002878,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M2_main_monetary_policy__M2_to_M7_hc_common_sample,broad_money_growth_pct,3.7908327707530285,M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M7_hc_common_sample,deposit_interest_rate_pct,4.365168388646567,M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M7_hc_common_sample,inflation_gdp_deflator_pct,1.815445162803177,M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M7_hc_common_sample,trade_pct_gdp,4.0493072493695355,M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M7_hc_common_sample,ln_gdppc,7.176973809351371,M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M7_hc_common_sample,xr_dep_pct,1.1203232564558403,M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,broad_money_growth_pct,4.128730635125303,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,deposit_interest_rate_pct,5.76350215585745,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,inflation_gdp_deflator_pct,1.846981577601655,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,trade_pct_gdp,4.66479401080342,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,ln_gdppc,207.31832181016003,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,xr_dep_pct,1.122506939424053,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,hc_human_capital_index,186.24731290067803,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M4_real_interest_robustness__M4_to_M7_hc_common_sample,broad_money_growth_pct,3.3269759815540265,M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M7_hc_common_sample,real_interest_rate_pct,7.067690401135101,M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
