model_id,estimator,term,coef,std_error,t_stat,p_value,ci_low,ci_high,comparison_id,native_model_id,sample_mode,native_rows,common_rows
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects,trade_pct_gdp,-0.015396536881157396,0.016276934321774243,-0.9459113477260207,0.3461944352358963,-0.04764101840662682,0.016847944644312027,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects,ln_gdppc,0.9641608184679905,0.8183383143497391,1.1781934214263492,0.2411730543531716,-0.6569610793660047,2.5852827163019856,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects,xr_dep_pct,0.05388979153232129,0.035984853138115724,1.497568749981652,0.13700910420390122,-0.017395925376698262,0.12517550844134084,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects_driscoll_kraay,Intercept,-18.565339870734586,13.605779484101951,-1.3645186512413912,0.17509186005146127,-45.51828423617669,8.387604494707517,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects_driscoll_kraay,broad_money_growth_pct,0.04510828943104767,0.03876528693280604,1.1636258364148395,0.2470053771153966,-0.031685445410178543,0.1219020242722739,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects_driscoll_kraay,deposit_interest_rate_pct,0.09223952245660531,0.12417401587844028,0.7428246707177681,0.45911580938716856,-0.15374824660255448,0.33822729151576514,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects_driscoll_kraay,inflation_gdp_deflator_pct,0.0017011896315368728,0.04407621384566034,0.03859654637065358,0.969279565282132,-0.08561345051896274,0.08901582978203648,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects_driscoll_kraay,trade_pct_gdp,-0.015396536881157396,0.017476400252529972,-0.880990172957873,0.3801767452120721,-0.050017151177092364,0.01922407741477757,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects_driscoll_kraay,ln_gdppc,0.9641608184679905,0.5559876424940187,1.7341407340332442,0.08559632462762967,-0.13724641906109236,2.0655680559970735,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects_driscoll_kraay,xr_dep_pct,0.05388979153232129,0.04131943335027024,1.3042238763414415,0.1947844009546209,-0.027963687689706182,0.13574327075434878,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
