model_id,estimator,covariance_type,nobs,r_squared,within_r2,adj_r_squared,slope_adjusted_within_r2,r2_adj_r2_gap
M5_lending_rate_robustness,random_effects,entity-clustered,96.0,0.5641662563858255,-0.21627649266237126,0.5347842062545328,-0.2982726607070256,0.029382050131292692
M6a_tourism_robustness_from_M2,pooled_ols,country-clustered,96.0,0.7775779981135534,0.7775779981135534,0.7598853388725861,0.7598853388725861,0.0176926592409673
M6a_tourism_robustness_from_M2,fixed_effects,entity-clustered,96.0,0.11456843327882704,-0.17795356938645823,-0.21907244693494832,-0.2716544214967447,0.33364088021377536
M6a_tourism_robustness_from_M2,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,96.0,0.11456843327882704,-0.17795356938645823,-0.21907244693494832,-0.2716544214967447,0.33364088021377536
M6a_tourism_robustness_from_M2,random_effects,entity-clustered,96.0,,,,,
M6b_tourism_robustness_from_M4,pooled_ols,country-clustered,96.0,0.8067089232288088,0.8067089232288088,0.7913334966674641,0.7913334966674641,0.015375426561344718
M6b_tourism_robustness_from_M4,fixed_effects,entity-clustered,96.0,0.3127339460734171,0.18438461543321805,0.05376412865180602,0.11950611893358765,0.25896981742161107
M6b_tourism_robustness_from_M4,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,96.0,0.3127339460734171,0.18438461543321805,0.05376412865180602,0.11950611893358765,0.25896981742161107
M6b_tourism_robustness_from_M4,random_effects,entity-clustered,96.0,,,,,
M7a_human_capital_robustness_from_M2,pooled_ols,country-clustered,83.0,0.8613097352162555,0.8613097352162555,0.848365310503106,0.848365310503106,0.012944424713149494
M7a_human_capital_robustness_from_M2,fixed_effects,entity-clustered,83.0,0.1887678676980311,0.11264679566784219,-0.16703569910107796,0.029827163263507428,0.3558035667991091
M7a_human_capital_robustness_from_M2,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,83.0,0.1887678676980311,0.11264679566784219,-0.16703569910107796,0.029827163263507428,0.3558035667991091
M7a_human_capital_robustness_from_M2,random_effects,entity-clustered,83.0,0.8613097352162555,-0.91965056195661,0.848365310503106,-1.098817947739227,0.012944424713149494
M7b_human_capital_robustness_from_M4,pooled_ols,country-clustered,83.0,0.8663852325310318,0.8663852325310318,0.8539145209005948,0.8539145209005948,0.012470711630437004
M7b_human_capital_robustness_from_M4,fixed_effects,entity-clustered,83.0,0.20265334304026883,0.11053642892065763,-0.14706010299470096,0.027519828953252223,0.3497134460349698
M7b_human_capital_robustness_from_M4,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,83.0,0.20265334304026883,0.11053642892065763,-0.14706010299470096,0.027519828953252223,0.3497134460349698
M7b_human_capital_robustness_from_M4,random_effects,entity-clustered,83.0,0.8663852325310317,-0.9082385705885003,0.8539145209005947,-1.0863408371767607,0.012470711630437004
