ISO code,Country,Variable code,Variable name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MYS,Malaysia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.58731245994568,2.61509108543396,2.64316821098328,2.67154669761658,2.70022964477539,2.72922086715698,2.75938773155212,2.78988838195801,2.82072591781616,2.85190463066101,2.88342761993408,2.90448880195618,2.92570376396179,2.94707369804382,2.96859955787659,2.99028301239014,3.01212477684021,3.03412580490112,3.05628776550293,3.07861137390137,3.10109806060791,3.13224864006043,3.16371178627014,3.20573282241821
MYS,Malaysia,pop,Population (in millions),22.967816,23.526538,24.102477,24.679602,25.256772,25.836071,26.417909,26.998389,27.570059,28.124778,28.655776,29.162039,29.662831,30.174265,30.696137,31.232798,31.789685,32.355644,32.910967,33.440596,33.889558,34.282399,34.695493,35.126298
PHL,Philippines,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.44470477104187,2.46005773544312,2.4755072593689,2.49105358123779,2.50669765472412,2.52243995666504,2.53909778594971,2.55586576461792,2.56856727600098,2.57997512817383,2.59143400192261,2.60486817359924,2.61837196350098,2.63194608688355,2.64559030532837,2.65930533409119,2.67309141159058,2.6869490146637,2.70087862014771,2.7148802280426,2.72895431518555,2.83230948448181,2.93957924842834,2.95599770545959
PHL,Philippines,pop,Population (in millions),79.625397,81.401488,83.068889,84.731835,86.394504,88.015962,89.508986,91.075184,92.699095,94.38425,96.337125,98.248614,100.175512,102.076336,103.76713,105.312992,106.735719,108.119693,109.465287,110.804683,112.081264,113.10095,113.964338,114.891199
SGP,Singapore,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.72152423858643,2.70760941505432,2.69376587867737,2.67999315261841,2.6662905216217,2.65265846252441,2.72960352897644,2.80878090858459,2.89025473594666,2.97409200668335,3.0603609085083,3.07251238822937,3.07657361030579,3.10310220718384,3.11748170852661,3.14851927757263,3.15059947967529,3.1422872543335,3.18827772140503,3.21364641189575,3.23067116737366,3.29967594146729,3.2801206111908,3.39934206008911
SGP,Singapore,pop,Population (in millions),4.035245,4.116166,4.146892,4.138245,4.172767,4.268364,4.407058,4.596515,4.806741,4.968568,5.077014,5.182239,5.29334,5.385588,5.4579,5.52534,5.57793,5.604078,5.634369,5.669563,5.62015,5.54629,5.649885,5.78909
THA,Thailand,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.24150514602661,2.27084016799927,2.30055904388428,2.33066654205322,2.361168384552,2.3920693397522,2.42337465286255,2.4550895690918,2.48721981048584,2.51977038383484,2.55274677276611,2.5733745098114,2.59177112579346,2.61029958724976,2.63583588600159,2.66162204742432,2.68766045570374,2.6924512386322,2.69725036621094,2.76140666007996,2.78379058837891,2.80635571479797,2.82910394668579,2.86166048049927
THA,Thailand,pop,Population (in millions),63.007815,63.651141,64.266437,64.868166,65.452047,66.01742,66.567687,67.102394,67.61983,68.12108,68.579447,69.007208,69.436098,69.845114,70.216367,70.540795,70.859841,71.160187,71.376079,71.522271,71.641484,71.727332,71.735329,71.702435
VNM,Viet Nam,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.97204279899597,2.01308059692383,2.05497241020203,2.09773588180542,2.1413893699646,2.18595147132874,2.23101854324341,2.27701449394226,2.32395887374878,2.37187123298645,2.42077112197876,2.44234204292297,2.46410512924194,2.48606204986572,2.50821471214294,2.53056478500366,2.55311393737793,2.57066369056702,2.58606362342834,2.60155558586121,2.63281893730164,2.66445779800415,2.69647669792175,2.74444723129272
VNM,Viet Nam,pop,Population (in millions),77.154011,77.969361,78.772224,79.563777,80.338971,81.088313,82.167897,83.633375,85.175788,86.460018,87.455152,88.468314,89.510356,90.573104,91.679578,92.823254,94.000117,95.176977,96.237319,97.173776,98.079191,98.935098,99.680655,100.352192
