country_code,country,year,fdi_pct_gdp,bm_growth,real_interest_rate,gdp_growth,gdppc,ln_gdppc,trade_pct_gdp,d_ln_exr,inflation,rq,rl,ge,cc,va,pv,wgi_composite,gdp_current_usd,population,hc_index,exr_lcu_usd
BRN,Brunei Darussalam,2013,4.286700848091971,1.4662689657432033,8.565331041311381,-2.1247829266455796,44003.064427346115,10.692014556551271,110.93959958421615,0.1278548073185115,-2.8234897935741117,1.0783592,0.46899939999999996,0.8076506,0.9963226,-0.486417,0.9634697999999999,0.83783295,18094148098.653576,411202.0,2.74364900588989,1.2512140286467777
BRN,Brunei Darussalam,2014,3.356609011551019,3.221126116469443,7.4841742789157895,-2.507887275907109,41026.508424795655,10.62197368371125,102.42100096303508,1.2607916039553968,-1.8460152782743222,1.0142248,0.4540224,1.1383824999999999,1.2036828,-0.4797516,1.2566861,0.952578125,17097797386.03359,416750.0,2.75492358207703,1.26704012308139
BRN,Brunei Darussalam,2015,1.3247117954403338,-1.7593650562943028,27.092781841957336,-0.3923837495020308,30625.128774465637,10.329576152718698,89.89618825335847,8.170532010373321,-12.073689811933491,0.9482166999999999,0.37458929999999996,1.1373096,1.2048250999999999,-0.5638299999999999,1.2031979,0.916235175,12930296870.124685,422212.0,2.76632022857666,1.37491084459887
BRN,Brunei Darussalam,2016,-1.3205904732439486,1.5092689928468153,16.150406134744415,-2.477917718332236,26663.29729506015,10.19104326556965,87.319801332806,0.4670132209615596,-9.16949538892618,0.7803650999999999,0.2656862,0.9756594,1.0855420999999998,-0.6163268,1.0333017,0.7768131999999999,11400266044.665098,427564.0,2.77784085273743,1.38134687688286
BRN,Brunei Darussalam,2017,3.858188215858968,-0.44158505559185113,0.519012853488807,1.3287266105782294,28024.382458025215,10.24083021230151,85.17686042699853,-0.032995913273292654,4.955268665213836,0.8630799,0.29364589999999996,1.0134455,1.2166994,-0.7580815,1.0788022,0.846717675,12128168045.124489,432772.0,2.78948664665222,1.3808911640528
BRN,Brunei Darussalam,2018,3.804865528308425,2.8375155003739936,-3.4020999933306615,0.05237104185289354,30988.119026722685,10.341359152802978,93.89806176667777,-2.3425853021133483,9.215624762770247,0.8702445999999999,0.3405091,1.0202584,1.2159731,-0.7828674999999999,1.1449837999999999,0.8617463000000001,13566908391.089458,437810.0,2.80125975608826,1.34891856542537
BRN,Brunei Darussalam,2019,2.77118007919323,4.2689599624633585,9.138376215740813,3.868844361770755,30426.573065652785,10.323071619580888,108.50965835795864,1.1278538730040366,-3.3337276418228896,0.8013123,0.28854569999999996,1.0771038,1.1831673,-0.7735434999999999,1.0980607,0.837532275,13469235364.703175,442680.0,2.81316184997559,1.36421851405474
BRN,Brunei Darussalam,2020,4.7105756528403,-0.4296712336535232,18.358144305853557,1.133573349524596,26834.359223394298,10.197438405935461,110.29100365845197,1.1286822558783272,-10.863759635016208,0.8099841999999999,0.5634205999999999,1.0752528,1.183555,-0.7752730999999999,1.1645233,0.90805315,12005799653.983503,447404.0,2.82519459724426,1.37970342971399
BRN,Brunei Darussalam,2021,1.4740498286723183,2.705595799601018,-8.631055770466718,-1.590762600996058,31006.963628978527,10.341967091433881,147.12311237531776,-2.6361967023836086,15.46592870217178,0.86713,0.5616354,1.0763513,1.1827999,-0.817422,1.1632012999999999,0.9219791500000001,14006496617.445808,451721.0,2.83735990524292,1.34380696297338
BRN,Brunei Darussalam,2022,-1.5761057506473832,1.2515047042344767,-14.68686501966418,-1.6283315451510845,36632.92809521554,10.508702789657383,146.97396587959724,2.5820375630076384,24.23672683877649,0.8654815,0.6385843999999999,0.9849534,1.1825406,-0.8095135999999999,1.175984,0.917889975,16681536466.7183,455370.0,2.84965920448303,1.37895639652215
BRN,Brunei Darussalam,2023,-0.37050451622700875,2.689338489626526,21.051833811517092,1.1276441816271898,32890.54918120193,10.400940636556681,136.86343465047977,-2.6361791744571095,-12.073689811933491,0.8078928,0.638307,0.9854733999999999,1.1816499,-0.7935612,1.3283584720000001,0.903330775,15095084656.163445,458949.0,2.86209464073181,1.34307960114933
IDN,Indonesia,2000,-1.5761057506473832,16.62313053743379,-1.654212470913128,4.920067747016901,763.7111249509245,6.638189608962422,71.43687591737309,19.751506867659607,20.447456852145905,-0.4626283,-0.9501841,-0.5497447,-1.0799309,-0.7009548,-1.9052026999999998,-0.7606219999999999,165021012077.80963,216077790.0,2.18566656112671,8421.775000000001
IDN,Indonesia,2001,-1.5761057506473832,11.870838396711235,3.7199859570297336,3.6434664472149194,732.3070934057076,6.5961999524951995,69.79320752562379,19.751506867659607,14.295715436283587,,,,,,,,160446947784.90857,219097902.0,2.20774579048157,10260.85
IDN,Indonesia,2002,0.07415163831811594,4.757902316427295,12.322412496192205,4.49947539085764,881.0029135691312,6.781060933046637,59.07946176637226,-9.602153247843008,5.89605169318483,-0.5720758,-1.1356188,-0.7684151,-1.3407373999999999,-0.40716399999999997,-1.8442976999999998,-0.9542117749999999,195660611165.18344,222088495.0,2.23004794120789,9311.191666666668
IDN,Indonesia,2003,-0.25425632038100493,7.937719863839658,10.852071147864788,4.780369121676543,1043.2105838671025,6.95005833669905,53.616493747301575,-8.211733432723811,5.487429137901472,-0.5885779,-0.9354148999999999,-0.9085264999999999,-1.2216426,-0.3891648,-2.1173536299999998,-0.9135404749999999,234772463823.80835,225048008.0,2.25257539749146,8577.133333333335
IDN,Indonesia,2004,0.7382439798875625,9.143972512954848,5.134410231234103,5.03087394501685,1126.8400444717279,7.02717257359557,59.761294836691036,4.13071982259634,8.550727031863659,-0.5018689,-0.7699807999999999,-0.7626847,-1.1642347,-0.1950044,-1.6568197,-0.799692275,256836875295.4519,227926649.0,2.27533054351807,8938.85
IDN,Indonesia,2005,2.916114833130667,16.335163913309852,-0.24573546701477195,5.692571303833844,1238.2144762948797,7.121425682419534,63.98793586886347,8.220765212077374,14.331787084271213,-0.4030391,-0.7652559999999999,-0.7337593,-1.1351666,-0.09452279999999999,-1.403589,-0.7593052499999999,285868619196.0848,230871650.0,2.29831528663635,9704.741666666665
IDN,Indonesia,2006,1.347942640689309,14.943188750137992,1.6581514216352111,5.500951785203483,1558.3156284716338,7.351360791581559,56.65712681488665,-5.784302149074172,14.08742441679263,-0.1787479,-0.6506633,-0.5173516,-0.8969324999999999,0.0351727,-1.1230422,-0.5609238249999999,364570515618.35693,233951652.0,2.32153272628784,9159.316666666668
IDN,Indonesia,2007,1.603010571887896,19.32512102065858,2.339674090880702,6.3450222266721426,1823.2197625507274,7.5083593173586465,54.829249978207464,-0.20017875227811288,11.258578530897111,-0.2282939,-0.6264569999999999,-0.4571356,-0.7032079999999999,0.0678583,-0.8635335,-0.503773625,432216737774.86053,237062337.0,2.34498429298401,9141.0
IDN,Indonesia,2008,1.8263290240399834,14.922867328660683,-3.8522450263345185,6.013703600091233,2124.5548392061796,7.661317571980574,58.56139963129606,5.924913235427276,18.149751249467556,-0.1516209,-0.5772889,-0.4526811,-0.5325944,0.0556929,-0.711286,-0.428546325,510228634992.25824,240157903.0,2.3686728477478,9698.9625
IDN,Indonesia,2009,0.90391941965406,12.95179644135267,5.747952095784301,4.628871182561525,2218.4854185297663,7.704579998126535,45.51212136870539,6.881886866766607,8.27475243172853,-0.1179653,-0.5530581,-0.3302307,-0.6204124,0.0446885,-0.6370844999999999,-0.405416625,539580085612.4014,243220028.0,2.39260053634644,10389.9375
